=== gen (gen) 剧情配音文本 ===
共计 670 句台词

[gen001_002] む
[gen001_003] わざわざすまんな。こちらこそよろしく頼む。手伝いは明日からで構わん。今日はゆっくり休め
[gen001_004] それで、元気にしていたか？
[gen001_005] 身体は？体調は崩してはいないか？
[gen001_006] 剣道は辞めたらしいな
[gen001_007] 壮健に暮らしているのならいい。元々は健康のためにさせていたことだ
[gen001_008] ともかく、よろしく頼む。何かあったら遠慮なく言え。無理だけはせんようにな
[gen001_010] お前は伝承を知らないか？
[gen001_011] 神から託された特別な刀だからな
[gen001_012] お前が疑う気持ちはわからんでもないが、ペテンではない
[gen001_013] 単純な力では抜くことはできん
[gen001_014] ……コツではないが……資格がな
[gen001_015] そういえば……将臣は、参加したことはあったか？
[gen001_016] そうか……
[gen001_017] ではいい機会だ。将臣も一度やってみるといい
[gen001_018] 問題ない。ワシが話をつけてくる。少し待っていろ
[gen001_019] 将臣！
[gen001_020] いいぞ、こっちにこい
[gen001_021] そうだな……特にしきたりはないが、まあ挨拶ぐらいはしておけ
[gen001_022] どうかしたか？
[gen001_024] ………………
[gen001_025] 何を騒いでいる
[gen001_027] 将臣？
[gen001_028] ああ、そのことか……む！？刀身が……
[gen001_029] これは、どうした？
[gen001_030] それはムラサメ様のことか？
[gen001_031] ワシは話だけだがな。見える方から話だけは聞いている
[gen001_032] それでだ、叢雨丸の件だが……担い手になった以上、お前には責任を取ってもらうことになった
[gen001_033] お前を、ウチで預かることはできなくなった
[gen001_034] そういう責任ではない
[gen001_035] 落ち着け。まずは話を聞け
[gen001_036] お前に紹介したい方がいる
[gen001_037] 都子の家は、そんなに不仲だったのか……？
[gen002_001] その話だが、将臣。お前には転校してもらいたい
[gen002_002] だがお前は、責任を取ると言ったはずだ
[gen002_003] では、好いている女子がいるのか？
[gen002_004] 引っ越すことがそこまで嫌か？恋人はいないのだろう？
[gen002_005] 携帯で連絡を取るではダメなのか？
[gen002_006] 将臣！
[gen002_007] 無理を言っているのは先刻承知。だがそれでも、了承してはもらえぬか。頼む
[gen002_009] こちらのことは気にするな
[gen004_001] 急にどうした？わざわざお前の方から来るとは……
[gen004_002] 何か問題でも起きたか？
[gen004_003] どうした、言いたいことがあるならハッキリ言わんか
[gen004_005] 将臣、お前……何を言っているんだ……？
[gen004_006] た、確かに……経験がなければ失敗をするかもしれんが……だからと言ってワシに……男に……男に、だと……っ！？
[gen004_007] それはワシに、頼むようなことなのか？もっと適切な人間がいるのではないか？
[gen004_008] ワシにしかって……お前……
[gen004_009] ……本気、なのか、将臣……
[gen004_010] ワシの知り合いとなれば、確かに経験は豊かかもしれんが……
[gen004_011] わ、ワシにだとっ！？
[gen004_012] 問題と言うか……そもそもだな、巫女姫様ともうそこまでの仲になったのか？
[gen004_013] いや、仲を深めるのはいいことではあるが……いくら経験のためとはいえ、お前のソレは不貞行為になるのではないか？
[gen004_014] そういう裏切りは見逃せんぞ、将臣
[gen004_015] 大体だな……いくらなんでも、それは少々マニアックすぎやしないだろうか？
[gen004_016] 高年、同性、近親相姦……マニアックにもほどがあるぞ！
[gen004_017] 『男になりたい』と言ったのはお前だろう！！
[gen005_001] ちゃんと来たか
[gen005_002] 本気なんだな？しかし驚いたぞ
[gen005_003] あれだろう？若い子の間では、びぃえる、というものが流行っているんだろう？
[gen005_004] 宿の経営をするためには、世情には詳しくなければならん。特に若者や外国の人の文化はな
[gen005_005] 知らずにいると、お客のクレームの対応に困るからな
[gen005_006] そうやって調べていく中で、びぃえる、とやらも若者の流行として知ったんだが？違うのか？
[gen005_007] そうなのか。まあ、この年になったワシにはさっぱり理解できんかったから、その方が助かるが
[gen005_008] しかし、驚いたのは本来の意味でもだぞ。まさかお前が頭を下げて『鍛えて欲しい』と言ってくるとはな
[gen005_009] 昔から、嫌々やっていると思っていたが……
[gen005_010] 将臣……キツイ言い方をするが、それは本当に考えて決めたのか？
[gen005_011] 別に勢いだろうと流されようと、きっかけは何でも構わんとワシは思う。その理由は問題ではない
[gen005_012] ワシが気になるのは、途中で放り出すことはできないということだ。最後までやり抜くしかないんだぞ
[gen005_013] 正直なところな、お前がそう言い出してくれてワシとしては嬉しい。だが……
[gen005_014] アレはとても危険な存在だと聞いておる
[gen005_016] ……わかった
[gen005_017] だが将臣。稽古を再開したからと言って、急激に強くなることはない
[gen005_018] 特に相手は人間ではない。何が起こるかわからない状況では、慢心は大怪我の元だ
[gen005_019] まず、そこは心に留めておくようにな
[gen005_020] そういう目的なら構わん。では始めるとするか
[gen005_021] 準備運動は？
[gen005_022] まさか、観光客の前で竹刀を振るわけにもいかん。とはいえ、もう道場はないからな
[gen005_023] 本来なら公民館を使いたいところだが、こんな早朝ではな
[gen005_024] 結局、鍛練ができるほど広い場所となると、思い当たるのがここぐらいだったのだ
[gen005_025] 何か問題があるか？
[gen005_026] ではまず、素振りからだ！
[gen005_027] いくぞ
[gen005_029] きいいいあああああっ！
[gen005_030] 今日は、ここまでにしておくか
[gen005_031] 当たり前だ。毎日鍛練している。投げ出したお前に負けるほど衰えてはおらん
[gen005_032] 大体お前は反応が鈍い。太刀筋を目で見切ろうとしていないか？
[gen005_033] もう少しマシかと思っていたが……本当に竹刀を握っていなかったのだな
[gen005_034] 基本はもちろん、体力と体幹も何とかせねばならんな。お前に合わせたメニューを考えなければ……
[gen005_035] 朝に１時間程度の鍛練ぐらいでは話にならん。将臣、放課後は空いているか？
[gen005_036] そうだな……
[gen005_037] 朝の鍛練は体力作りに専念して、竹刀を持つようなものは、放課後にまとめてしまおう
[gen005_038] 足さばきに素振りに基本打ちに切り返しに掛かり稽古……それぞれ１時間ぐらいは行うとして合計４、５時間ぐらいはみっちりと
[gen005_039] 不満か？
[gen005_040] 本当に、いいんだな？
[gen005_041] この程度で鈍る決意なら、考え直した方がいいということだ
[gen005_042] うむ。いい返事だ
[gen005_043] わかった。孫相手だ、最初は加減をするから安心せい
[gen005_044] では、放課後にな
[gen005_045] 休むな！もっと打ちこんで来い！まだ休むには早い！来ないならこちらから打つぞ！
[gen005_046] そんな乱れた打ち方では相手を崩すことはできんぞ！こうだ！
[gen005_048] きぃぃやぁぁぁぁぁぁぁぁぁ！
[gen005_049] うむ。ではまず、いつものように縄跳び。そのあとでシャトルランだ
[gen005_050] 来たな。では公民館に移動するか
[gen005_051] ああ、そうだ。将臣、今度の土曜日時間はあるか？
[gen005_052] 学院は休みだろう？
[gen005_053] そんな嫌そうな顔をするな。そんな話ではない
[gen005_054] 鍛練はいつも通りだ
[gen005_055] 実は案内を頼みたいのだ
[gen006_001] よし。今日はここまで
[gen006_002] 何を言っている？楽にこなしてしまっては鍛練にならんだろうが
[gen006_003] 常に身体を追い込んでこそだ
[gen006_004] 鍛練とは、そういうものだ
[gen006_005] うむ。だが、その前に将臣
[gen006_006] 今日は土曜日だ。頼んでおいた件は、大丈夫か？
[gen006_007] ではすまんが頼む。待ち合わせは午後の一時半。場所にも変更はない
[gen006_008] 三時までに旅館に連れてきてくれればいい。それまでは、適当に観光をして構わん
[gen006_009] 宿の人間は仕事で手一杯だ
[gen006_010] 小春は用事があるそうだ。廉太郎は……あいつはダメだ
[gen006_011] たるんどる。たるみきっておる。頭の中は女子のことばかりだ
[gen006_012] 一度旅館の手伝いをさせたら、宿泊客に言い寄る始末……頭が痛いわ……
[gen006_013] 本格的に、一度鍛え直した方がいいかもしれんな
[gen006_014] まあ、そういうわけだ。廉太郎に案内役を任せるのは、不安で仕方ない
[gen006_015] そうだが……よもや、将臣までそんな男になっておるのではなかろうな？
[gen006_016] ならばいい
[gen006_017] 新しく雇うことになった従業員だ
[gen006_018] そのことは気にするな。元々、人手不足は経営者であるワシの落ち度だ
[gen006_019] １人増やすつもりで、ずっと探してはいたのだ。しかし全然見つからなくてな
[gen006_020] 宿の仕事はとても厳しい。今時はわざわざそんな厳しい業界で働こうと思う者も少ない
[gen006_021] 業界全体が人手不足な上に、ここは不便な土地だからな
[gen006_023] どうだろうな……最近の若い者は、すぐに逃げ出すと聞く
[gen006_024] 最近は“ばっくらー”なるものも流行っているのだろう？宿を燃やされてはたまらんからな
[gen006_025] そうだが……やはり色々と心配なのだ
[gen006_026] その子はお前と同い年で、とても若い。こっちで鵜茅学院に通うことになっている
[gen006_027] しかも、その子は日本人ではなくてな
[gen006_028] ワシではない。女将の考えだ
[gen006_029] 言葉だけでなく文化の違いを理解しておる者がいた方がいい、とな
[gen006_030] ワシももう歳だ。女将に宿の切り盛りを任せている
[gen006_031] お前も何度も会っているはずだぞ？
[gen006_032] 猪谷心子さん。４年ほど前から女将として働いてもらっている
[gen006_033] そうか。お前が顔を見せなくなったのも、それぐらいだったな
[gen006_034] 外国人の旅行者も増え、客層も変わって、昔のままでは難しいことも増えた
[gen006_035] ワシもこの歳だからな。いっそ、若い者の方がいいと思ってな
[gen006_036] 多少は口を挟むし、重要な部分はワシが決断を下すが、基本的には隠居生活みたいなものだ
[gen006_037] だからこそ、お前の鍛練にも毎日付き合える
[gen006_038] 気にするな。お前が真面目に取り組んでいるのは、ワシも嬉しい
[gen006_039] 心配するな。拙くとも日本語で日常会話はできると聞いている
[gen006_040] 助かる。では、頼んだぞ
[gen006_041] ん？ああ、もう来ていたのか、将臣
[gen006_042] 鞍馬玄十郎だ、よろしく頼む
[gen006_043] 期待をしているよ
[gen006_044] 将臣、彼女の荷物を部屋まで運べ。あの大きさでは大変だろう
[gen006_045] きええええええええええええええええええ！
[gen007_001] どうした？身体が音を上げているのか？
[gen007_002] そうか。もうか……
[gen007_003] もう少し時間があれば、多少は鍛え直した変化もあっただろうが……仕方がない
[gen007_004] いいか、鍛練の成果を見せるなどとは考えるな。決して驕るんじゃないぞ
[gen007_005] ……そうだな。今のお前でもできることを、落ち着いてすればいい
[gen007_006] 礼を言われるようなことではない。それにだ、鍛練は今後も続けるつもりなんだろう？
[gen007_007] では、怪我をしないようにな
[gen007_008] 怪我で鍛練を中断をすることになれば、また最初からやり直しだぞ
[gen007_009] 焦らず、慌てず、鍛練でしていたことができれば上出来だ
[gen007_010] 逆に言えば、鍛練の時にできなかったことは絶対にできない。そう心しておけ
[gen007_011] そしてお前がするのは剣道でも試合でもないことも、決して忘れるな
[gen007_012] ならばいい
[gen007_013] 明日、同じ時間に待っているからな
[gen008_001] ふむ。その態度からすると、昨夜は上手くいったようだな
