=== koh (koh) 剧情配音文本 ===
共计 1138 句台词

[koh001_001] どうしたの、お姉ちゃん
[koh001_002] あ、本当だ！お兄ちゃん！
[koh001_004] 本当に久しぶりだもんね。全然帰って来ないんだもん
[koh001_005] すっごく背が伸びてるから、最初誰かわからなかった
[koh001_006] ほ、本当？えへ……えへ……そう言ってもらえると嬉しいな
[koh001_007] あっ、あるもん！きょ、去年と比べて０．２ミリも育ってるもん！
[koh001_008] 廉兄、うるさい！ちょっと黙っててよ
[koh001_009] お兄ちゃん、優しい……なんていい人……！
[koh001_011] なにさ！
[koh001_012] バーカバーカ
[koh001_013] ほら、例のイベントが行われてるから
[koh001_014] 伝説の勇者イベント
[koh001_015] 抜けない抜けない。どれだけ力を入れても、１ミリたりとも動かないんだよ、あれ
[koh001_016] それにお祖父ちゃん、そういうインチキとか嫌いだと思うな
[koh001_017] 私や廉兄もお祖父ちゃんに言われたから、深い意味はないと思うよ？
[koh001_018] お祖父ちゃんを怖がり過ぎだってば、お兄ちゃん
[koh001_019] バカなことばっかりしてるからでしょ。私はそんなに怒られた覚えはないもん
[koh001_020] どうせ今日だって、祭りに来てたお客さんをナンパとかしてたんでしょう？
[koh001_021] それが廉兄の実力ってことだよね
[koh001_023] あー……私も、宿題が……
[koh004_001] おはよう、お兄ちゃん
[koh004_002] 怪我はもう大丈夫なの？
[koh004_003] ちゃんと気を付けないとダメだよ？山で転がり落ちるなんて
[koh004_004] お兄ちゃんも、廉兄と一緒に調子に乗ってバカやっちゃう子だったもんね……
[koh004_005] 本当に気をつけないとダメだよ、お兄ちゃん
[koh004_006] いい加減、大人にならないと
[koh004_007] あわっ、挨拶が遅れてごめんなさい。おはようございます、巫女姫様、常陸先輩
[koh009_001] きゃっ
[koh009_002] もー、危ないなー
[koh009_003] なにその態度。せっかく忘れ物を届けに来てあげたのに
[koh009_004] はいこれ、お弁当。毎日持って行かなきゃいけないのに、どうして忘れるかな……
[koh009_005] 猫撫で声、キモッ。こういう時だけ調子がいいんだから……
[koh009_006] うーん……どうしよっかな。お弁当、教室においてきちゃったから
[koh009_007] 折角誘ってもらえたんだから……たまにはお兄ちゃんと食べよっかな
[koh009_008] じゃあすぐに取ってくるね
[koh009_009] お待たせ、お兄ちゃん
[koh009_010] 廉兄じゃあるまいし、ちゃんといるよ。失礼だなー
[koh009_011] お兄ちゃんとは食べたかったけど、廉兄のことじゃないもーん
[koh009_012] えーっと……お兄ちゃん。この方は一体……？
[koh009_013] あ、あの外国から雇った人？
[koh009_014] 初めまして。お祖父ちゃんの孫で、鞍馬小春と言います
[koh009_015] あ、はい。こちらこそ、よろしくお願い致します
[koh009_016] こちらの生活は、どうですか？もう慣れましたか？
[koh009_017] ふぁ……ふぁっきん？
[koh009_018] そ、そうなんだ……
[koh009_019] でも、旅館の仕事は大変ですよね。たまに手伝うと筋肉痛になります
[koh009_021] 朝早くから夜遅くまで、忙しいですもんねぇ
[koh009_022] わっ、わっ……巫女姫様と一緒にお昼ご飯だなんて緊張する
[koh009_023] 名前で呼ぶなんて……なんだか尻込みしちゃう
[koh009_024] 外国のお弁当って、どんな感じなんですか？
[koh009_025] いえ、まさか。お母さんが作ってくれたんです
[koh009_026] キンチラ……ごぼう？
[koh009_027] あ、そうですよね。シゲさんは妙な料理を作ったりしませんよね
[koh009_029] ですから、よければ交換して下さい
[koh009_030] 金平ごぼうの代わりに、お芋を甘辛く煮たのをどうぞ
[koh010_001] あ、お兄ちゃん。いらっしゃいませー
[koh010_002] 変かな？どこかおかしい……というか、似合わない？
[koh010_003] ほ……本当？嘘吐いてない？
[koh010_004] えへ、えへへ……なんか照れるね、そんなにサラッと言われると。やっぱりウチのバカ兄とは違うね
[koh010_005] まだ言ってなかったっけ？アルバイトをしてるの
[koh010_006] といっても、始めたのは春からだから、ついこの間だけどね
[koh010_007] 廉兄？お兄ちゃん、廉兄と約束？
[koh010_008] お兄ちゃん、一体何を慌てて……
[koh010_009] わっ、わっ！？巫女姫様に常陸先輩、レナ先輩まで！
[koh010_010] ど……どうしたの、お兄ちゃん？このハーレムは何事？
[koh010_011] えー……廉兄が一緒なのー……？
[koh010_012] 迷惑かけちゃうんじゃないかな……ちょっと心配だよ……
[koh010_013] あ！そうでした！
[koh010_014] 大変失礼いたしました。こちらにどうぞ
[koh010_015] こちら、メニューになります
[koh010_017] もしかして……巫女姫様って甘い物好き？
[koh010_018] 学院での凛とした姿と、舞を踊ってる美しい姿しか見たことなかったけど……あんな顔もするんだね
[koh010_020] そういえば、お祖父ちゃんが言ってたかも
[koh010_021] 新たに開発っていう話は毎年上がるんだけど、今のところは現状維持の意見の方が大きいんだって
[koh010_022] それに、まだまだここを嫌ってる人もいるから
[koh010_023] 協力したくても、できないんじゃないかな？
[koh010_024] はーい。少々お待ち下さい
[koh010_025] お待たせいたしました。こちら、抹茶パフェでございます
[koh010_026] こちらは、ほうじ茶ラテとプリンになります
[koh010_027] ありがとうございます
[koh010_029] は？　そんなこと思うわけないでしょ。廉兄が何かよからぬことを考えてるって思ってただけ
[koh010_030] 本当、変なことしないでよ。恥をかくのは家族なんだからね？
[koh010_031] カッチーン！やっぱり心配！廉兄のお目付け役として私も一緒についていく！
[koh010_032] 今日はお仕事早引けする。いいよね、お姉ちゃん？
[koh010_033] そんなぁ……どうしても？
[koh010_034] ……むぐ……
[koh010_035] ………。本当、目を離しちゃだめだからね？
[koh010_036] やっぱり心配だよ。、お姉ちゃ。ん
[koh012_001] お兄ちゃん、起きてる？
[koh012_002] お兄ちゃん、無理しなくていいんだよ？寝てなくて大丈夫？
[koh012_003] 倒れた本棚の下敷きになったって聞いたけど……
[koh012_004] 包帯までして……そんなにひどいの？
[koh012_005] それならいいんだけど
[koh012_006] して欲しいことがあったら何でも言ってね、お兄ちゃん
[koh012_007] お兄ちゃん、これは私からのお見舞いね
[koh012_008] 中身はビワだから、皆さんでどーぞ
[koh012_009] いいの、これぐらい
[koh012_010] それで、調子はどうなの？
[koh012_011] でも本棚が倒れるなんて、一体何があったの？
[koh012_012] お兄ちゃん、お祓いでもしてもらった方がいいんじゃない？
[koh012_013] 今日はお兄ちゃんのお見舞いに来たんだから、そういうことは気にしないでいいの
[koh012_014] お祖父ちゃんに？
[koh012_015] お醤油とお味噌
[koh012_016] それでもダメだよ、お兄ちゃん。包丁とか持たれると心配だもん
[koh012_017] むっ……なにさ、わざわざ引き合いに出さなくてもいいじゃない
[koh012_018] 廉兄なんて、旅館の手伝いでお客さんの前には出せないから、厨房に回されて覚えただけでしょう
[koh012_019] 私だってお姉ちゃんのところで働くようになってから、料理の練習だってしてるもん
[koh012_020] 昔よりは、少しぐらいは力になれるよ
[koh012_021] いいよ、それぐらい。あ、でも……
[koh012_022] やっぱりご迷惑でしょうか？
[koh012_023] はい
[koh012_024] 床ッ！？
[koh012_025] あービックリした……
[koh012_026] そのお誘いは、もの凄く光栄で嬉しいんですが……
[koh012_027] もう家で用意されてると思いますから、今回は申し訳ありません！
[koh012_028] はい、廉兄の言う通りです
[koh012_029] ちょっとお兄ちゃん！
[koh012_030] そ、そうかな？えへ、えへへ……ありがとう、お兄ちゃん
[koh104_003] お兄ちゃん、それに巫女姫様も！
[koh104_004] 巫女姫様も！
[koh104_005] １年の鞍馬小春です。具体的に、どのようなところを『好き』になったのでしょうか？
[koh104_006] えへへ……いや、ついね。
[koh104_007] からかうつもりはないんだけど、やっぱり気になっちゃって
[koh104_008] そう言うお兄ちゃんだって、今までノリノリだったくせに
[koh104_009] 普段、お２人はどんな風に呼び合っているんですか？
[koh104_010] 名前で呼び合ったりはしないんですか？
[koh104_011] まだ、愛を育み中ということですね？
[koh104_015] あわっ、すみませーん
[koh104_017] ……わくわく……わくわく……
[koh104_018] ごっ、ごめんなさいっ
[koh104_019] ちょっと、お花を摘みに
[koh104_020] そしたら２人が見つめ合ってたから。すぐに隠れて観察――じゃなかった
[koh104_021] 邪魔をしてはいけないと思ったんだよ
[koh104_022] 照れ隠しということはわかっていますから
[koh105_001] それで、このお店に？
[koh105_002] ………？でもお姉ちゃん、彼氏がいたことなんてあったっけ？
[koh105_003] そんな話は……聞いたことがないような？
[koh105_004] お姉ちゃん？
[koh105_005] 日中はずっとお店。お店閉めたら帳簿つけたり、仕入れの連絡したり。毎日忙しそうだもんね、お姉ちゃん
[koh105_006] そう言うのって本当に言われるものなんだ？
[koh105_007] あっ！そうだった！
[koh105_008] お兄ちゃんとデートするんですよね
[koh105_010] でもそうですよね！女の子だって好きな人とはそういう妄想をしちゃいますよね！
[koh105_011] どうして、そんなこと知ってるの、お姉ちゃん？
[koh105_012] それはいわゆる……耳年増というものでは――
[koh105_013] そ、そうですか？ごめんなさい、思ったことがつい口から出てしまって……
[koh105_014] どうすればって考えちゃう時点で、ダメなんですよねぇ、そういうのって
[koh105_015] えっ、えぇぇ！？お、女の子同士とはいえ、キ、キスだなんて……
[koh105_016] ひゃっ、いえ！私も特に役に立てたわけではありませんから
[koh105_017] はい。大丈夫です
[koh105_018] 常陸先輩、少女漫画を読んだりするんですか？
[koh105_019] 忍者って……関係あるのかな？
[koh105_020] そう言えばお姉ちゃん
[koh105_022] マンガだから多少表現がオーバーになってること、巫女姫様に伝えたっけ？
[koh105_023] 最近はほら、髪にみたらし団子つけたり、一晩でお寺作ったり……ちょっとエッチな物も多いじゃない？
[koh105_024] もし……そこら辺まで真面目に受け取られたら……
[koh105_025] まー、そうだよねー
[koh105_027] はーい
[koh106_001] それで、ここに逃げ込んできたの？
[koh106_002] 少々お待ち下さい
[koh106_004] お兄ちゃんがなんか恥ずかしい事言ってる……と思っただけですよ、お客様
[koh106_005] 和紅茶です
[koh111_001] あ、お兄ちゃん。おはよう
[koh111_002] そう言えば、今日はなんだか朝から元気な気がするね
[koh111_003] ほんのちょっとだけど
[koh111_004] ？？？２人で何の話？
[koh111_005] 男が目と目で通じ合うとか……なんかいやらしい
[koh111_006] お兄ちゃん、廉兄に感染して、巫女姫様に愛想を尽かされても知らないよ？
[koh111_007] 自業自得って言うんだよ、こういうの
[koh207_001] いらっしゃいませー
[koh207_002] お兄ちゃんに、常陸先輩。わっ、先輩その服、とっても似合ってます！可愛いです！
[koh207_003] もしかしてその服……勝負服ですか？
[koh207_004] それってつまり、２人は噂通り付き合ってるんだ……はぁ……お兄ちゃんと、先輩が……
[koh207_006] ほら……廉兄って参考にならないというか、参考にしちゃダメな人だから
[koh207_007] だから、身近な人の恋人関係って初めて見たけど……なんか素敵だと思って。憧れちゃうかも
[koh207_008] あっ、そうだった
[koh207_009] それではこちらにどうぞ、お客様
[koh207_010] ご注文は、如何なさいますか？
[koh207_011] 畏まりました
[koh209_001] 日本茶と抹茶をお持ちいたしました
[koh209_002] いらっしゃいませ、常陸先輩、お兄ちゃん
[koh209_003] お姉ちゃんは仕事もしないで、何を話し込んでるの？
[koh209_004] な、なにそれ……ちょっと怖い
[koh209_005] そんなの調べて、どうするんですか？
[koh209_007] あと……そういう話があるのならもっと利用してるんじゃないかな？
[koh209_008] 廉兄？ううん、今日はお祖父ちゃんのところの手伝いに駆り出されてるはずだよ
[koh209_009] いつもみたいに、調理場だと思うけど
[koh301_001] あ、お兄ちゃん、もう食べようとしてるー
[koh301_003] はぁ……。そんなことじゃないかと思った
[koh301_004] やっぱりお兄ちゃんに直接言えば良かったよ
[koh301_005] この駄兄っ
[koh301_006] お兄ちゃん、相変わらず巫女姫様には優しいね
[koh301_007] 婚約してる時と変わってないよ
[koh301_008] それにしてもお兄ちゃんが、そのまま建実神社にお世話になるって思わなかったよ
[koh301_009] てっきり、ウチに来てくれるって思ってたのにな。
[koh301_010] ちょっと残念
[koh301_011] そうだよ！お兄ちゃんは、廉兄とは違うのっ
[koh301_012] あーあ、お兄ちゃんが、本当のお兄ちゃんなら良かったのに
[koh301_013] 常陸先輩、ウチの廉兄とトレードしませんか？
[koh301_015] え？誰もいないよ
[koh301_016] え？何？何が起こってるの？
[koh301_017] お兄ちゃん、どうしたの？
[koh301_018] へ？
[koh303_001] お兄ちゃーん、来たよー！
[koh303_002] お兄ちゃーん、上がってもいいの？
[koh303_003] 廉兄、しゃべってばっかいないで、お料理運んで
[koh303_004] そうだよ、廉兄ももっと見習って欲しい
[koh303_005] ほら、ダメじゃん
[koh303_006] あはは、よそ行きのお兄ちゃんだね
[koh303_007] ええーっ？！
[koh303_008] 巫女姫様、本当ですか？！
[koh303_009] そんな怖い神様いたら、困っちゃうもんね。
[koh303_010] そのムラサメ様がどうしたの？
[koh303_012] 駒川先生は、知ってらしたんですか？
[koh303_013] お兄ちゃん、ムラサメ様って、どんな方なの？
[koh303_014] 何か、お兄ちゃんって、すごいね……
[koh303_016] すごーい！手品みたーい
[koh303_017] お兄ちゃん、ムラサメ様って、女の人なんだよね？
[koh304_001] もう、廉兄は恥ずかしいなぁ……
[koh304_002] え？お兄ちゃん、今、ムラサメ様いたの？
[koh304_003] あー
[koh304_004] あ、でも、廉兄が美人かどうかって聞いてたりしてたし
[koh304_005] 廉兄、近いうちに御神刀で真っ二つにされたり……
[koh304_006] お兄ちゃんは、かなり好き勝手に話してるみたいですけど？
[koh305_001] お兄ちゃん？どうしたの？
[koh305_002] いらっしゃいませーって、お兄ちゃん
[koh305_003] えっ？！い、いらっしゃいませ、ムラサメ様
[koh305_004] そうは言われても、やっぱりムラサメ様だし、なかなか……
[koh305_005] お兄ちゃん、何か食べていく？
[koh305_006] ホントホント、お兄ちゃんは、最近ぐっと大人っぽくなったよ
[koh305_007] 何も出なくてもいいから、ウチの廉兄に言ってやってよ
[koh305_008] もっとしっかりしろって
[koh305_009] 妹、大事にしろって
[koh305_010] あーあ、もうお祖父ちゃんに強制的に鍛えてもらおうかな。
[koh305_011] お兄ちゃん、耳がのびてる？！
[koh306_001] もう、そこまで話が進んでたんだ
[koh306_002] 廉兄、何言ってるの、ここはチャンスじゃん
[koh306_003] 今までの失点を取り返さないと
[koh306_004] 自分でわかってなかったの？！
[koh306_005] だからいつまでも駄兄なんだよ、はあ。。っ……
[koh306_006] じゃあ、多数決をとりまーす！
[koh306_007] 廉兄がリーダーで、いいと思う人！
[koh306_008] では、お兄ちゃんがいいと思う人！
[koh306_009] もちろん、私もお兄ちゃん！
[koh306_010] はーい！
[koh306_011] 何言ってるの！いた方がいいの！
[koh306_012] そうだよ、廉兄、怖がりすぎっ
[koh306_013] どうして、付き合いの長い廉兄の方が、わかんないの？
[koh306_014] お祖父ちゃん、お願い！
[koh306_015] 私のお祖父ちゃん、サイコー！
[koh306_016] はぁ……
[koh306_017] なかなか、いいアイデアって出ないんだね、お兄ちゃん
[koh306_018] ……っくん、はぁ、落ち着く。。……
[koh306_019] やっぱり廉兄がリーダーじゃなくて良かったよ
[koh306_020] お兄ちゃん、レナ先輩、ムラサメ様、失礼します
[koh308_001] ムラサメちゃんが人に戻ったでありますか？！
[koh308_002] ったく、廉兄、動機不純すぎだよ……
[koh308_003] お兄ちゃん、私もレナさんとお見舞い行くね
[koh308_004] 楽しみだな。、早く会いたいな。
[koh308_005] 廉兄の場合、計算してるからだよ
[koh310_001] ええーっ？！
[koh310_002] きょっ、恐縮ですっ！ムラサメ様！
[koh310_003] いえいえいえ！
[koh310_004] 私には、そんな呼び方は恐れ多くて……！
[koh310_005] ううん
[koh310_006] 色々とアイデアは出たけど、まだどれとは決まってはいないよ
[koh310_007] えっとね……
[koh310_008] アイデアその１、穂織にオ○○○ックを誘致する
[koh310_009] アイデアその２、穂織でＦ○を開催する
[koh310_010] アイデアその３、穂織でコ○○クマーケットを――
[koh310_011] ほら、だから言ったでしょ、この駄兄っ！
[koh310_012] はい、お兄ちゃん
[koh310_013] えー？！お兄ちゃん、私は？！
[koh310_015] 甘味処でも、あべかわ餅とか、磯部焼き餅とかのセットをランチタイムにやってるの
[koh310_017] レナ先輩、それもう死語ですから……
[koh310_018] お姉ちゃん、ごめんね、忙しい？
[koh310_019] えっ、えーっと……
[koh310_020] ふぅ……
[koh310_021] いいんですよ、巫女姫様
[koh310_022] 巫女姫様は普段から、お忙しいからあんまり頼っちゃダメだね
[koh310_024] お兄ちゃん、来たよーっ！
[koh310_025] 私達だけで、悩んでてももう無理かも
[koh310_027] 廉兄、いつまでお祖父ちゃん苦手にしてるの？
[koh310_028] こんにちはーっ
[koh310_030] で、でも、外部の業者さんが上手くやってくれるなら……
[koh310_031] そうだよ、廉兄、もっと真面目に……
[koh310_033] お兄ちゃん、どうしちゃったの？！
[koh310_034] これがダメなら、たぶん外部の業者さんだしね……
[koh311_001] そうだよ、廉兄っ！
[koh311_002] 話は全部、こっそり聞かせてもらったよ！
[koh311_003] ここは男だったら、やるとこでしょ、廉兄っ！
[koh311_004] 妹に仕事押し付ける気？！この馬鹿兄っ！
[koh311_005] そんな兄貴、修正してやるっ！
[koh311_006] 廉兄こそ、兄貴なんだから、もっと妹の言うこと聞いてよ！
[koh311_007] そこまで、深刻だったんだ……
[koh311_008] ええーっ？！お兄ちゃん、失敗したら切腹しちゃうの？！
[koh311_009] よし、行け、駄兄っ！
[koh313_001] 巫女姫様、常陸先輩、おはようございます！
[koh313_002] あーあ、廉兄、汚名返上できなかったね。
[koh313_003] 廉兄にはがっかりだ！
[koh313_004] ふーんだ、言い訳ばっかり！
[koh313_005] そっちこそ、何よ！
[koh313_006] お兄ちゃん、出来そう？
[koh313_007] じゃあ、もうずっと御神刀イベントは続くってことだね！
[koh313_008] お姉ちゃんも、御神刀パフェ作ったし、これでまた名物が増えたよ！
[koh313_009] うん、昨日、試食させてもらったけど、とっても美味しかったよ！
[koh313_010] スコーンがね、刀の形しててそれが抹茶アイスに刺さってるの
[koh313_011] 準備前に、雰囲気悪くしてどうするのよ、この馬鹿兄っ！
[koh313_012] お兄ちゃんが、失敗するわけないでしょ！
[koh313_013] そんなことあるはず、まったくちっとも絶っっ対にありえないよっ！
[koh313_014] ね？お兄ちゃん
[koh313_015] うん、廉兄もやっとやる気になったね！
[koh313_017] うっ、きっと英語だよね……
[koh314_001] あ、明日、私、ガイドやんなくちゃだよ！
[koh314_002] え、英語自信なーい！
[koh314_003] ううっ、アイ、キャン、ノー、イングリッシュなのにっ！
[koh314_004] ほ、本当？！私、安心していい？
[koh314_005] そんなことないもん！
[koh314_006] 私は廉兄以外には、いつも優しくしようって心がけてるもん！
[koh314_007] それは廉兄が――廉兄だからだよっ！
[koh314_008] うっ、そうしたら、もしかしてまたお客さん減っちゃうとか？
[koh314_009] に、日本語でなら、何とか！
[koh314_010] はーい！
[koh314_011] お兄ちゃん、明日は頑張ってね！
[koh314_012] 何がって、全部違うじゃん
[koh314_013] だから、廉兄もお祖父ちゃんに稽古つけてもらえばいいんだよ！
[koh314_014] 悪い意味だけどね……
[koh315_001] ご、御神刀イベントの復活の儀は、午後１時からになりまーす！
[koh315_003] お兄ちゃん、あっちでマスコミの人が呼んでるよ！　あ、ムラサメ様も！
[koh416_001] あ、あの、もしかして難しい話？だったら、私もいていいのかな？
[koh416_002] ……確かに。廉兄がいてもいいなら、私もいいのかな？
