=== miz (miz) 剧情配音文本 ===
共计 516 句台词

[miz004_001] 待たせてしまったようで、申し訳ない
[miz004_002] 初めまして、有地将臣君。私は駒川みづは、この町で開業医を営んでいる者だ
[miz004_003] 手間を取らせてすまなかったね。ありがとう
[miz004_004] 芳乃様の確認にもね
[miz004_005] 叢雨丸を抜いたことによる影響は、何かあったりしますか？
[miz004_006] 良かった、安心しましたよ
[miz004_007] 診療所に来てもらうと大変です。待合室でみんなから話しかけられて、すぐに人がいっぱいになる
[miz004_008] それに、丁度学院に用事がありましたから
[miz004_009] ついでと言ってはなんだけど、有地君の様子を見ておこうと思って
[miz004_010] 頭も打っていたし、祟り神に触れた部分もありましたから。あくまで念のためですよ
[miz004_011] それじゃあ有地君、保健室まで一緒に来てくれるかな？
[miz004_012] じゃあ行こうか
[miz004_013] ん？ああ、芳乃様と常陸さん？昔からの付き合いだから
[miz004_014] 私の家は代々医者なんだ、昔は朝武家のお抱えだったそうだよ
[miz004_015] 今でもウチから誰か１人は医者になるように親に言われて、芳乃様の主治医になる
[miz004_016] 勿論。穢れに関する知識と資料も、先祖代々受け継がれているんだ
[miz004_017] そうだけど……？
[miz004_018] 中条先生は、外から来た人だからね
[miz004_019] イヌツキなんて呼び名も知らないところからだよ
[miz004_020] いくらなんでもこのご時世、町の中だけで完結するのは無理だ
[miz004_021] 多少不便でも、遠くを頼れば力を貸してくれる人もいるってことさ
[miz004_022] 私も大学の頃は遠くに行っていてね。さすがに大学であんな服を着ていたら浮いてしまうよ
[miz004_023] 仕事が忙しいから、すぐに着替えられる方が楽なんだよ
[miz004_024] あの手の和服は、どうしても時間がかかるからね
[miz004_025] さてと。さしあたってはまず、右肩の経過を見せてもらおうかな
[miz004_026] これは……
[miz004_027] 逆だよ。驚いたな……もうほとんど治ってる。治りが早いね
[miz004_028] これが若さってやつかな
[miz004_029] さて、じゃあ他のところも見て行こうか
[miz004_030] 傷はもう治ってる。血色もいいし、穢れも変に残ったりしていないよ。大丈夫、問題ないだろう
[miz004_031] 手首が少し痛むということだが……腫れもない。すぐに引くはずだ
[miz004_032] 常識の範疇なら問題はないと思うけど
[miz004_033] どこか、気になるような痛みがある？
[miz004_034] ならいいんだけど。そもそも手首はどうして痛めたんだい？
[miz004_035] ああ……お祓いか。アレに関しては、こちらの都合はお構いなしだからね
[miz004_036] とにかく身体には気を付けることだ。同じ部分に負担をかけていると、それだけで怪我をしやすくなるから
[miz004_037] 何か違和感があれば報告するように。どんな些細なことでもね
[miz004_038] うん。じゃあね
[miz009_001] それは確かに気になるね
[miz009_002] ちょっといい？
[miz009_003] 見た目は……水晶のように見えるね。特に変わった点は見当たらないけど
[miz009_004] この欠片に対して、有地君は何か感じたりする？
[miz009_005] 具体的には？
[miz009_006] 芳乃様と常陸さんは？
[miz009_007] 実際に触れてみても、何も変わらない？
[miz009_008] なにかありましたか！？
[miz009_009] 本当に大丈夫ですか？
[miz009_010] ……もしかしてムラサメ様？なんて仰ってる？
[miz009_011] そう……
[miz009_013] 調べるのはこれからです。気のせいかも、なんて気にせず、何でも言っておいて欲しいんですが
[miz009_014] 安心……
[miz009_015] とにかくこれは、私の方で預からせてもらって構わないね？
[miz009_016] ただ……申し訳ないが、すぐには結論は出ないだろうね
[miz009_017] 医者の仕事を放り出すわけにはいかない、少し調べる時間が欲しい
[miz009_018] それじゃあ、まずは普通の鉱石かどうかも調べて……
[miz009_019] 拾ったとき、落ちていたのはこれだけ？他には気になるものはなかった？
[miz009_020] 場所は覚えてる？
[miz009_021] これと同様の物が他にもあるのか？あるなら沢山？これが欠片なら、欠け落ちた元がある？
