=== mot (mot) 剧情配音文本 ===
共计 128 句台词

[mot001_001] はい、ただ今まいります
[mot001_002] お待たせいたしました。ご予約のお客様でしょうか？
[mot001_003] 失礼ですが……
[mot001_004] 大旦那さんのお孫さんですか、話は聞いております。遠いところ、ご足労いただき誠にありがとうございます
[mot001_005] 大旦那さんは今、建実神社のはずですよ。実行委員ですから
[mot001_006] 予定通りでしたら……練り歩きがそろそろ神社に到着している頃ですね
[mot001_007] お気遣いありがとうございます
[mot001_008] 今のところは大丈夫ですから、是非今日は春祭りを楽しんで下さい
[mot001_009] お荷物、預かりましょうか？
[mot004_001] はい。今、まいります
[mot004_002] お待たせ致しました……あら？確か……大旦那さんの？
[mot004_003] いえ、大丈夫ですよ。もう春祭りも終わりましたしね
[mot004_004] もうすぐ新しい従業員も入ってくる予定ですから、心配なさらず
[mot004_005] それよりも、大旦那さんですよね？
[mot004_006] はい。かしこまりました
[mot006_001] はい。すぐに参ります
[mot006_002] お待たせいたしました。あ、将臣さん。大旦那さんですね、少々お待ち下さい
[mot006_003] そうだったんですか。お忙しい中、お手数をお掛け致しました。有り難うございます
[mot006_004] 初めまして。志那都荘の女将、猪谷心子といいます
[mot006_005] 旅館では、女将と呼んでください
[mot006_006] こちらは、志那都荘の大旦那さんです
[mot006_007] リヒテナウアーさん
[mot006_008] さっそくですが、旅館の中や仕事の内容について説明しておきたいのですが、大丈夫ですか？
[mot006_009] ……日本語も、勉強してもらった方がよさそうですね
[mot006_010] 丁寧に喋ろうとしている努力はわかりますが、お願いちゅかま――
[mot006_011] っ……つかまつる、などの言葉遣いをする人は、ほとんどいません
[mot006_012] とはいえ、日常生活を送る上では問題ありません。むしろ堪能でしょう
[mot006_013] すぐに慣れることができると思いますよ。一緒にがんばりましょう
[mot006_014] ですから、そういう部分が……いえ、それは今後ということで
[mot006_015] よろしくお願いします、リヒテナウアーさん
[mot010_001] リヒテナウアーさん、掃除は終わりましたか？
[mot010_002] ……ちょっと語尾が丁寧になりすぎてまた変になっていますね
