=== mur (mur) 剧情配音文本 ===
共计 3300 句台词

[mur001_001] ふむ。お主が、吾輩のご主人か？
[mur001_002] こっちだ、こっち
[mur001_003] お？その驚き様、ちゃんと見えておるし、聞こえておるな
[mur001_004] 違うっ！吾輩は断じて幽霊などではない！
[mur001_005] 吾輩の名前はムラサメ。『叢雨丸』の管理者……まあ、『叢雨丸』の魂のようなモノだな
[mur001_006] だから吾輩は、幽霊ではないと言っておるであろう！
[mur001_007] 大体、折れた程度で復讐する必要などない。叢雨丸ならばこの程度すぐに元に戻る
[mur001_008] 百聞は一見にしかずとも言う。先に証明した方がよかろう
[mur001_009] ほれこの通りだ
[mur001_010] これで少しは落ち着いて話を聞く気になったか？
[mur001_011] ――よっと
[mur001_012] 吾輩の名はムラサメ。この『叢雨丸』の管理者であり、神力を司る者である
[mur001_013] よろしく頼むぞ、ご主人
[mur001_014] どうした？盗人を捕らえれば我が子だったような顔をして
[mur001_015] ご主人はご主人だ。叢雨丸を抜いたのであろう？
[mur001_016] どちらでも構わぬ。ともかく、あの岩から離したのはご主人であろう？
[mur001_017] それは決して、誰でもできることではないのだ
[mur001_018] 使えぬ人間がどれだけ力を込めたところで、叢雨丸はこゆるぎもせぬ
[mur001_019] だがご主人はどうだ？そこまで力を込めていたのか？
[mur001_020] それこそが、叢雨丸を使える人間の証なのだ
[mur001_021] 何が気になるのだ、ご主人？
[mur001_022] 今はその理解でよかろう
[mur001_023] 叢雨丸は神刀、穂織の土地神様より授かった特別な刀だ
[mur001_024] 錆びようが欠けようが折れようが、神力を借りれば万全の状態に戻すことができる
[mur001_025] お前ではない、ムラサメ。自己紹介は二度もしたではないか
[mur001_026] いきなり呼び捨てか、ご主人
[mur001_027] それはそれで威厳がないが……まっ、よかろう。吾輩のご主人であるしな。それで、なんだ？
[mur001_028] ふむ、よいか？叢雨丸は神力を宿らせ、妖力に対抗する刀だ
[mur001_029] だが、ただの鉄に宿すのは難しい。そこで必要となったのが“人の魂”だ
[mur001_030] 神力を魂に、魂を刀に宿らせ、神刀と成すのが叢雨丸。そして、その魂こそが吾輩なのであ。る
[mur001_031] うむ。その認識で間違いはない
[mur001_032] 幽霊ではない！全然違う！一緒にするな！
[mur001_033] 吾輩は叢雨丸の管理者！神の使い、いわば神使なのだ！
[mur001_034] 幽霊などと、そっ、そそそそそそんな根拠のない存在と一緒にするなっ
[mur001_035] まあ、そういう認識で問題ない
[mur001_036] それ故、現世に干渉ができん。吾輩では使い手にはなれんのだ
[mur001_037] そこで必要となるのが叢雨丸の使い手、つまり、吾輩のご主人だ
[mur001_038] 叢雨丸は選ばれた者だけが使うことができる
[mur001_039] そして吾輩も見えるようになり、会話もできるようになるというわけだ
[mur001_040] うむ。といっても例外はあるがな
[mur001_041] ついでに言うと、いくらご主人でも吾輩に触れることはできん
[mur001_042] 触れようとしてもすり抜ける。こんな風にな
[mur001_043] なんならご主人も試してみるか？ほれ、どこからかかってきても構わんぞ
[mur001_044] 構わぬと言っておる
[mur001_046] ひっ……ひっ……ひぁっ……ご、ごしゅっ、ごしゅっ、しゅしゅしゅ
[mur001_048] あ、あれ……突き飛ばせた。や、やっぱり、すり抜けない……？
[mur001_049] ごごごごごご主人が吾輩の胸を触るからではないか！
[mur001_050] ぬぁっ、なにおぅっ！？わわわわわわ吾輩を愚弄するかっ
[mur001_052] 謝るふりをして喧嘩を売っておるのだな！　表に出ろぉ、ご主人！
[mur001_053] だ、大体硬いのは骨だ！ご、ご主人は吾輩の胸の上から骨をゴリゴリしておったのだ！
[mur001_054] 触られた……触られてしまった……ぐっ……ぐぬぬぬぬぬ
[mur001_055] も、もちろんだ！だからこそ吾輩も触ってみるかと言ったわけで……
[mur001_056] それに、吾輩が突き飛ばせたのもおかしい
[mur001_057] いや、そんなはずはないのだが……うーむ……
[mur001_058] ダメだ。むむ胸を揉まれたせいで、考えがまとまらん
[mur001_059] ごぉしゅぅぅじぃぃぃんっ！！
[mur001_061] やはりかー！
[mur001_062] ほれ、吾輩の言った通りであろう？なのにどうして、ご主人は……
[mur001_063] 例外はあると、説明をしたはずだぞ
[mur001_064] ん？間違いないぞ。目の前の者が、吾輩のご主人だ
[mur001_065] 吾輩のご主人だからな。まあ、それぐらいは許したのだ
[mur001_066] 芳乃は吾輩と会話できる人間の１人だ。ご主人のように叢雨丸に選ばれたわけではないがな
[mur001_067] そうは言うがな……吾輩のご主人になった以上は――
[mur001_068] ……強情じゃのう
[mur001_069] ひどく偏った結婚観だな……ご主人
[mur002_001] 起きたか、ご主人。おはよう
[mur002_002] 本当に悲しいのう、ご主人
[mur002_003] なぜどもる？本当に友がおるのか？
[mur002_004] 吾輩は現世の身体に縛られておらんからな。普通にしておれば、睡眠も必要ない
[mur002_005] 場合によりけりじゃな。壁をすり抜けるのが便利なこともあれば、物に触れられないのが不便なこともある
[mur002_006] これは畳に立っておるわけではない。実は微妙に浮いておるのだ
[mur002_007] ゆえに、履き物が汚れたりすることもない
[mur002_008] 昔の感覚が抜けんのだ。身体を意識した動きの方が動きやすい
[mur002_009] なんだ？突然撫でたりして……どうかしたか？
[mur002_010] あ……
[mur002_011] ん……い、いや。なんでもない
[mur002_012] 安晴ならば、すでに朝の仕事をしておるぞ
[mur002_013] 神主の朝は早い。掃除や祝詞の奏上、やるべきことは色々あるからな
[mur002_014] 今から行っても、気を遣わせるだけであろうよ
[mur002_015] ちょっと涙目になっておるではないか
[mur002_016] 今さら取り繕ったところで手遅れだと、吾輩は思うぞ？
[mur002_017] 吾輩は事実を口にしただけなのだがな
[mur002_018] 大体、芳乃とご主人は婚約者、結婚するのであろう？朝が苦手なことも、知り合っておくべきではないか？
[mur002_019] ふむ、許嫁か？
[mur002_020] 芳乃は律儀に反応してくれるのう、わはは
[mur002_021] 寝間着のまま、頬は真っ赤の腑抜けた姿でキリッとしても、しまらんなぁ
[mur002_022] なにもそこまで怖い顔をせんでも……
[mur002_023] わかったわかった。ちゃんと行く
[mur002_024] 心配するな。吾輩のご主人になっても、身体に影響はない
[mur002_025] 寝起きの時よりも、さらにやつれたように見えるな、ご主人
[mur002_026] 芳乃も悪い奴ではないのだが、少々頑固だからのう
[mur002_027] ご主人に対する嫌悪ではないのだ。あまり気を悪くするな
[mur002_028] まだ一日であろう？『帰りたい』などと言わず、せめてもう少し様子を見てやって欲しい
[mur002_029] なんだ……呆れたぞ。真面目に心配した吾輩がバカみたいではないか
[mur002_030] ご主人は嫌ではないのか？
[mur002_031] 『なんだ』とはどういう意味だ？
[mur002_032] ……それは
[mur002_033] すまぬ。吾輩はご主人に、ちゃんと説明をすべきだと思っているのだがな
[mur002_034] 芳乃が反対をしておる。今朝もその件で釘を刺されたところだ
[mur002_035] 安晴も説得をしておるはずだ。もう少し、時間をくれぬか？
[mur002_036] 意外とあっさり引くのだな
[mur002_037] 吾輩は幻覚ではないし、幽霊でもないぞ、ご主人！
[mur002_038] 吾輩も見ておらんな
[mur002_039] こういう場合、警察に任せた方がいいのではないか？
[mur002_040] それはまあ手伝うが、吾輩が見つけても、ご主人に報告することしかできんぞ？
[mur002_041] 合流に関しては気にしなくてもよい。ご主人は叢雨丸の使い手。ご主人の魂を探れば、大体の居場所はわかる
[mur002_042] 安心しろ。あくまで吾輩が“自分の意思で探れば”、“大体の居場所は”だ
[mur002_043] とにかく、すれ違いの心配はしなくてもいいぞ
[mur002_044] うむ。承知した
[mur002_045] ご主人！ご主人！吾輩の声が聞こえるか！しっかりせんか、ご主人！
[mur002_046] 迷子はすでに警察が見つけておる！安心しろ！
[mur002_047] ああこら、やはり安心するな！気を緩めてはいかん！しっかり意識を持て！迷子よりもご主人が危ないぐらいだ！
[mur002_048] もうすでに助けは呼んでおる！それまでちゃんと意識を保て、ご主人！
[mur003_001] 今は寝かせておいてやれ。徹夜でご主人の看病をしておったのだ
[mur003_002] 吾輩が看ると言ったのだがな。本当に頑固な奴だ
[mur003_003] 意識を失ったのは昨日の夜。今は昼を過ぎたところだ
[mur003_004] 身体はどうだ？医者は、意識が戻れば問題ないと言っておったが
[mur003_005] 擦り傷切り傷、多少の裂傷と打撲はあるが、骨折はしておらんそうだ
[mur003_006] それでも……みんな心配しておったのだぞ
[mur003_007] まあな。血だらけのご主人を見つけた時には、肝を冷やしたぞ
[mur003_008] そんなことはない。ご主人を除けば芳乃と茉子だけだ
[mur003_009] 昨日も大変だったのだぞ。吾輩ではご主人を運ぶ力はないし、芳乃と茉子でなければ伝えられんし
[mur003_010] ご主人にも感謝をしておったぞ
[mur003_011] というか、あの時伝えたはずだが……覚えておらんのか？
[mur003_012] ボロボロのご主人を見つけた時、夢だと思いたかったのは吾輩の方だ
[mur003_013] ……何を自分の股間を見つめて唸っておるのだ、ご主人
[mur003_014] ………………阿呆か？そこに何の意味があるのだ、ご主人
[mur003_015] 言い間違えか本気なのか、わかり辛いボケはやめろ
[mur003_016] ……それなのだが……ご主人……
[mur003_017] すまぬ！迷惑をかけたのは吾輩の方なのだ！
[mur003_018] 吾輩がちゃんと『山に入るな』と、先に忠告しておくべきだった……
[mur003_019] ……それなのだが
[mur003_020] おそらく、ご主人の身体に触れたことが原因であろう。右肩は祟り神の穢れに触れた部分だからな
[mur003_021] やはりご主人にも見えるか
[mur003_022] ここにおる者はな。吾輩が見える人間ならば、この耳も見ることができる
[mur003_023] 今はまだ、な。だが、このまま放置し続けておると、誰でも見えるようになる
[mur003_024] まず始めに、当時の朝武の姫に耳が生えた。最初は吾輩ぐらいにしか見えなかった
[mur003_025] だが、時間が経つと誰にでも見えるようになり、噂が広まったのだ
[mur003_026] 朝武の姫は獣の耳が生える、呪われた姫だとな
[mur003_027] それだけではない
[mur003_028] 耳が誰にでも見えるようになるように、祟り神も放置しておると、穢れを溜めこんで強力になってしまう
[mur003_029] そうして強力になった祟り神が、穂織の地で暴れまわったこともある
