=== ren (ren) 剧情配音文本 ===
共计 983 句台词

[ren001_001] うん？なんだ、芦花姉
[ren001_002] って……あれ？お前、将臣か？
[ren001_003] 本当に久しぶりだな！珍しいじゃないか、最近は全然顔を見てなかったのに。どうした？
[ren001_004] お世辞に決まってるだろ。その胸のどこに成長があるんだよ
[ren001_005] んなもん誤差だ、誤差
[ren001_006] こんな小憎たらしい妹じゃなく、キュートでプリチーな妹だったらどれだけよかったことか
[ren001_007] なんだよ？
[ren001_008] ブースブース
[ren001_009] 祖父ちゃんなら今は中にいるよ
[ren001_010] そりゃ無関係な観光客はな
[ren001_011] イベントとは関係なく、祖父ちゃんに挨拶するだけなら大丈夫だろ
[ren001_012] 神社に来るの、初めてだったか？
[ren001_013] 俺もやったことあるけど無理だったな。押しても引いても全く動かない
[ren001_014] なんか腹が立ったから、横方向に力を入れてみたんだけど、それでもビクともしやしない
[ren001_015] その程度で折れるぐらいなら、今までのチャレンジですでに折れてるって、絶対
[ren001_016] 疑う気持ちはわかるが、あの必死のマッチョマンたちが、イカサマしてると思うか？
[ren001_017] なんだ？どうかしたのか？
[ren001_018] そういやそうだったな
[ren001_019] 俺も気構えなくていいと思うぞ。俺や小春が失敗したときも、何も言われなかったから
[ren001_021] ――うっ！？
[ren001_022] ……全部空振り
[ren001_023] １３打数？
[ren001_025] その頃の反動かもな
[ren001_026] 祖父ちゃんが厳しすぎるんだよ。今時これぐらい普通だろ
[ren001_027] 出会いは求めていかないと。代わり映えしない顔ばっかなんだから
[ren001_028] マジかっ
[ren001_029] ちょっ、お前っ、俺に押し付けようとすんな！こっちくんな！俺は関係ない！
[ren001_031] 言い分はどうあれ、現実がその手の中にある。諦めろ
[ren001_033] だから知らねえって！　俺を巻き込もうとするんじゃねぇぇぇ！
[ren001_034] あー……そろそろ晩飯の時間かなー
[ren004_001] よう！おはよう
[ren004_002] 見た目はもうすっかり元気そうだな
[ren004_003] おー、ならよかった
[ren004_004] ドジだよなー
[ren004_005] おはよう、２人とも
[ren004_006] しかも、そのクラスメイトの顔ぶれはずーっと同じ。子供の頃からの友達も多い
[ren004_007] 田舎だからな。みんなが顔見知りみたいなのが普通だよ
[ren004_008] それよりも――
