=== rkc (rkc) 剧情配音文本 ===
共计 120 句台词

[rkc103_001] 断る
[rkc103_002] 店の仕事だって重要だ
[rkc103_003] とにかく教えるつもりはない。仕事が詰まってんだ
[rkc103_004] 今から午後用にプリンを追加で作らなきゃいけねえんだ。素人に優しく料理教室を開いてる暇はない
[rkc103_005] 親に向かってなんだその口の利き方はっ
[rkc103_006] 無駄口叩いてないでお前も働け。ほら、パフェの注文が来てるぞ
[rkc103_007] 厨房で、でかい声を出すな
[rkc103_008] まっ、こんなもんだろ
[rkc103_009] 用が終わったならさっさと出てけ
[rkc417_001] いい加減にしろ、芦花
[rkc417_002] そんなもの、物珍しさで１度注文してもらえたって、２度注文する客はいない
[rkc417_003] とにかくオレは、そんなもの作るのはお断りだ
[rkc417_004] なんでもやるという意味じゃない。お断りと言ったら、お断りだ！
[rkc417_005] いや、いい。レナちゃんだっけ？
[rkc417_006] 失敗は失敗だ、芦花が一番わかってる
[rkc417_007] バカ野郎
[rkc417_008] だが、ちょっとばかり意地になりすぎた、すまん
[rkc417_009] こういうのは、他の店も試したところがいくらでもある
[rkc417_010] だが色物系の名物は、地域全体であちこちの店の看板に出てるくらいじゃないと上手くいかない
[rkc417_011] いや、一度看板を見て気になっても、美味いかどうかわからない物にはなかなか金を出しづらいだろう？
[rkc417_012] だが２度３度、同じ看板が出てるのを見たら、ひょっとしたら美味いのかって気になってくる
[rkc417_013] それでようやく金を落としてくれるものなんだ
[rkc417_014] だから、ウチの店だけでやっても大して売れたりしないもんなんだよ
[rkc417_015] それじゃ試行錯誤しないうちに、やめちまったんじゃないのか？
[rkc417_016] 失敗は失敗でもなにがいけなかったのか、なんで反対されてるのか
[rkc417_017] 自分で経験して考えなきゃ、身につかないもんなんだ
[rkc417_018] バカ野郎、だから最近の若いヤツはダメなんだよ！
[rkc417_019] オレが修行してた頃は、技を盗もうと師匠の手元ばっかり見てたら、ぶん殴られたもんだよ
[rkc417_020] ……なに？
[rkc417_021] ほう、ＳＬか！そんな話をされたのは、ひさしぶりだな
[rkc417_022] なにを言ってる？向こうから聞いてくれたんじゃないか
[rkc417_023] もちろんだ！線路だってすぐ近くまで来てたくらいだからな、間違いない
[rkc417_024] それも国鉄が走らせていた旧式のイギリス製ではなく、ぴっかぴかのドイツ製だったんだぞ！
[rkc417_025] ああ、国鉄がイギリス製だったのは、蒸気機関車のコピー生産を許してくれたのがイギリスだけだったからだ
[rkc417_026] 夢の国産ＳＬを産み出すため、必死に製造技術を学ぼうとしていた時期だからな
[rkc417_027] だが地方の私鉄には関係ない
[rkc417_028] ドイツ製は、小型で馬力が強く、しかも安かった
[rkc417_029] だから当時の私鉄はほとんどがドイツ製だ、間違いないだろう
[rkc417_030] へー、凄いじゃないか！だが、さすがにそこまではわからんな
[rkc417_031] でも、そういうこともあったかもな
[rkc417_032] いや、きっとあったろう！当時、鉄道を通すというのは、最先端の技術を結集した大変な事業だった
[rkc417_033] 外国から人を招くくらいしなくては、日本人だけではとても成し得なかったはずだ
[rkc502_001] なんだ？
[rkc502_002] この店にも、何度か来ていたな
[rkc502_003] よろしく頼む
[rkc502_004] ああ、わかった。そう気張らなくていい
