=== yos (yos) 剧情配音文本 ===
共计 3208 句台词

[yos001_001] 初めまして、朝武芳乃です
[yos001_002] あの、叢雨丸を抜いたっていうのは、本当なんですか？
[yos001_003] 間違いないんですか？
[yos001_004] 本当なんですか、ムラサメ様
[yos001_005] ムラサメ……ちゃん？
[yos001_006] お父さんっ、そういうことは言わなくていいです
[yos001_007] ムラサメ様も
[yos001_008] 大丈夫です。私が何とかしますから
[yos001_009] 有地さんには関係のない話ですから気にしないで下さい
[yos001_010] よろしくお願いします
[yos001_011] はい……わかります
[yos001_013] ………
[yos001_015] …
[yos001_017] お、お父さん？　一体何を……ど、どういうことなの？
[yos001_018] それは、確かにそうだけど……でもだからって
[yos001_019] 意味が解らないっ
[yos001_020] 全然違いますっ
[yos001_021] ちょっと待って、お父さん！
[yos002_001] ふあ……おあ。よ。……
[yos002_002] あっ……
[yos002_004] ――ンッ！
[yos002_005] ぅっ……く……痛い……
[yos002_006] ……大丈夫、です……これぐらい
[yos002_007] これは……さ、さっき欠伸をしたからです。別に泣いてるわけじゃ、ないですよ
[yos002_008] それよりも――ゴホンッ！
[yos002_009] おはようございます
[yos002_010] 取り繕っているわけじゃありません、これが普通ですから。変なことを言わないで下さい、ムラサメ様
[yos002_011] 婚約者ではありません
[yos002_012] 言い方の問題でもありません！ワザと私をバカにしていませんか？
[yos002_014] 有地さん
[yos002_015] さっきはちょっと気を抜いていて、お恥ずかしい姿をお見せしてしまいましたが……違いますから
[yos002_016] さっきのは本当に違いますからね！なんかこう……変な期待とか、しないで下さいねっ
[yos002_018] ～～～ッ
[yos002_019] もう！ムラサメ様！少し話がありますので一緒に来ていただけますでしょうか！？
[yos002_020] それから有地さん、体調の方は大丈夫ですか？何かいつもと違う、違和感はありませんか？
[yos002_021] ムラサメ様のことを疑っているわけではなくて、慣れない生活ですから、体調を崩すこともあると思っただけです
[yos002_022] 何もないならいいんです。それでは失礼します
[yos002_024] ……なんですか？
[yos002_025] 散歩だそうです
[yos002_027] ……なんですか？
[yos002_028] 掃除や事務作業など色々です
[yos002_029] 御馳走様でした
[yos002_030] 私は、舞の練習をしていますので何かあれば呼んで下さい
[yos003_001] ……すー……すー……
[yos003_003] んむぅ……ぅぅー……お、おはよう、ございます……
[yos003_004] ……ぁーー………………有地さん……？
[yos003_005] 有地さん！？
[yos003_007] 右肩、痛むんですか！？　ちょ、ちょっと見せて下さい！
[yos003_008] ……？どうかしましたか？
[yos003_009] 有地さん？大丈夫ですか？
[yos003_010] あり得ない物？
[yos003_011] ―――ッ！？！？
[yos003_012] こっ、ここここれは、違います。違うんです！有地さんの見間違いです！き、きっと頭を打ってしまって幻覚が見えているだけで――
[yos003_013] あっ！？ぅぅぅ……っ、は、嵌められた……
[yos003_015] お父さん……でも……
[yos003_016] ……わかりました。でも、必要なことだけですから。約束して下さい
[yos003_017] ……はい……
[yos003_019] 有地さんは気にしないで下さい。これは朝武の……いえ、私の問題です
[yos003_020] お父さんが言った通り、山に入ったりしなければ、有地さんにまで危険が及ぶことはないはずです
[yos003_021] 祟りは私が何とかしますから
[yos003_022] 今すぐ解決、とはいかないかもしれません。しばらく不自由を強いることになってしまい、申し訳ないと思います
[yos003_023] ですが、絶対に何とかしますから。私に任せて下さい
[yos003_024] 横になっていなくて平気なんですか？
[yos003_025] それならいいんですが……
[yos003_026] いえ、今のはただの練習です。奉納ではありません
[yos003_027] もちろんです。舞の奉納は大切なお役目ですから
[yos003_028] あっ、それよりも、お渡ししたい物があるんです
[yos003_029] できる範囲で直しておきました
[yos003_030] 大きな傷もなくて、一応形ぐらいは元に戻せました
[yos003_031] 素人なので、拙くて申し訳ないんですが……
[yos003_032] そ、そうですか……ありがとうございます
[yos003_033] これぐらいは、いつもしていることですから気にしないで下さい
[yos003_034] 山に入ってお祓いをしていると、こういった傷はよくありますから。直せる物は直して使っています
[yos003_035] 普段の家事は茉子に世話になりっぱなしですが、これだけは私の方が上手なんです
[yos003_036] 私のことは心配しないで下さい。呪詛のことは気にせず、ちゃんと身体を治して下さい
[yos003_037] 大丈夫です。祟りは私が何とかします
[yos003_038] それでは、行ってきます
[yos003_039] あ、有地さん？
[yos003_040] ど……どうしているんですか！山には入らないようにって言ったのに
[yos003_041] 戻って下さい！それが有地さんのためです！
[yos003_042] ……ぐぅぅ……
[yos003_043] そ、れは……ぅっ、にゅぅぅぅ……
[yos003_044] もう知りません、勝手にすればいいです
