角色代号,中文角色名,语音文件名/句ID,台词文本
akh,鞍马小春,akh108_001,また……あの子の前で、泣いちゃった……
akh,鞍马小春,akh108_002,母親なのに、あの子を苦しめ、追い込んでばかりで……弱いなぁ、私は
akh,鞍马小春,akh108_003,でも、あの子は私と違って強い。きっとアナタに似たのね
akh,鞍马小春,akh108_004,本当なら、あの子には自由に生きて欲しかった
akh,鞍马小春,akh108_005,そのための道を、私が作ってあげるつもりだったのに……
akh,鞍马小春,akh108_006,どうしてあなたが謝るの？そんな必要ないのに……
akh,鞍马小春,akh108_007,それは、あなたの責任じゃないじゃない。だから謝らないで
akh,鞍马小春,akh108_008,……わかってる
akh,鞍马小春,akh108_009,今のままじゃダメ。強くならなきゃって思ってはいるの。でも……
akh,鞍马小春,akh108_010,私はもう、長くない……
akh,鞍马小春,akh108_011,自分でわかる
akh,鞍马小春,akh108_012,あの子に呪いを残してしまう事が悔しい。それに……
akh,鞍马小春,akh108_013,祟り神の危険にあの子を晒して、先に死んでしまうことが悔しいの……
akh,鞍马小春,akh108_014,なにより私は、いい母親になれなかった……
akh,鞍马小春,akh108_015,ううん、ダメよ。だって……私はあの子を信じることができなかった
akh,鞍马小春,akh108_016,ずっと怖かったわ……。『どうして自分を産んだのか？』って問い詰められることが
akh,鞍马小春,akh108_017,『呪いがあるような家に生まれて来たくなかった』って責められることが
akh,鞍马小春,akh108_018,でも……芳乃はそんなこと言ったりしなかった
akh,鞍马小春,akh108_019,いつも私に明るい笑顔を見せてくれる。私はあの子の笑顔が嬉しくて……つい、涙を流しちゃって……
akh,鞍马小春,akh108_020,むしろ私が気を遣わせてるぐらい。本当にダメな母親なの、私
akh,鞍马小春,akh108_021,わかってる、あの子の気持ちは痛いぐらいに。私だって大好きよ
akh,鞍马小春,akh108_022,あの子の笑顔が眩しくて、それを曇らせてる自分が悔しくて……
akh,鞍马小春,akh108_023,だからアナタに、伝言をお願いしたいの
akh,鞍马小春,akh108_024,ダメよ。私は自分でも嫌になるぐらい弱いから。また泣いちゃうと思う
akh,鞍马小春,akh108_025,そしたらきっと、私の言葉はあの子の心には届かない。涙の言い訳だと思われるわ
akh,鞍马小春,akh108_026,あの子がもう少し大きくなって……もし好きな人が出来た時、私のせいで苦しんでいるとしたら伝えて欲しい
akh,鞍马小春,akh108_027,そんなに怖がらないで、って
akh,鞍马小春,akh108_028,泣いたのは私が弱かっただけから。私は、芳乃が笑ってくれるのが本当に嬉しかった。嬉しすぎて、泣いちゃうぐらいに
akh,鞍马小春,akh108_029,好きな人と一緒にいられる幸せを知って欲しいの。それはとても、素敵なことだって感じて欲しい
akh,鞍马小春,akh108_030,私はそれを、安晴さんに……そして芳乃に教えてもらったわ
akh,鞍马小春,akh108_031,生まれてきてくれてありがとう。私に幸せを教えてくれてありがとう。私は誰よりも幸せになれた
akh,鞍马小春,akh108_032,だから今度は芳乃が幸せになって。私よりも、世界で一番幸せになってね……って
akh,鞍马小春,akh108_033,……わかった。あの子の笑顔を真っ直ぐに受け止められる日がきたら……ちゃんと自分で言うわ
akh,鞍马小春,akh108_034,本当はもっと、母親らしいことをしてあげたかったな
akh,鞍马小春,akh108_035,一緒にお料理したり、好きな男の子の事を話したり、孫の顔も見たかった
akh,鞍马小春,akh108_036,……そうね。ごめんなさい、変なこと言って
akh,鞍马小春,akh108_037,呪いを解いて、もっとちゃんとした母親になって、あの子と一緒に過ごす。ちゃんと笑顔で、あの子の側にいる
akh,鞍马小春,akh108_038,それで……アナタに一つ、お願いがあるの
akh,鞍马小春,akh108_039,私、芳乃の弟を……産みたいの
akh,鞍马小春,akh108_040,そう、だから頑張って
akh,鞍马小春,akh108_041,私、アナタと一緒になれてよかった。芳乃を産んでよかった
akh,鞍马小春,akh108_042,幸せよ。今も本当に幸せよ。愛してる
akh,鞍马小春,akh108_043,幸せになってね、芳乃
akh,鞍马小春,akh108_044,私の幸せな毎日を超えるぐらい、幸せになってね
akh,鞍马小春,akh108_045,―――
bsd,bsd,bsd423_001,エイエイ、オー！エイエイ、オー！
chi,chi,chi205_001,畏まりました。カップ、お下げ致します
chi,chi,chi205_002,お待たせいたしました。抹茶でございます
chi,chi,chi502_001,おはようございます
chi,chi,chi502_002,どうしたんですか？みなさん、集まって
chi,chi,chi502_003,内藤千代です。よろしくお願いします
chi,chi,chi502_004,なに？小春ちゃんと有地君は知り合いなの？
chi,chi,chi502_005,へー……
chi,chi,chi502_006,こっちもプリン、お願いします
chi,chi,chi502_007,社長もお疲れ様です
chi,chi,chi502_008,それじゃあ、休憩入ります
chi,chi,chi502_009,小春ちゃーん、ちょっといい？
chi,chi,chi502_010,それじゃあ、私はお先に失礼します
chi,chi,chi502_011,え？あー、別に迷惑だなんて思ってないってば
chi,chi,chi502_012,でも、覚えることはちゃんと覚えようね
chi,chi,chi502_013,それじゃあ、お疲れ様
chi,chi,chi504_001,おはようございます
chi,chi,chi504_002,は、はい……頑張ります
chi,chi,chi504_003,おはよう、有地君
chi,chi,chi504_004,小春ちゃーん、ちょっと待ってー
chi,chi,chi504_005,あっ、有地君。表の掃除、頼んでもいい？
chi,chi,chi504_006,お疲れ様、有地君
chi,chi,chi504_007,ありがとう。じゃあ、今のうちに休憩取っちゃって
chi,chi,chi504_008,時間内に戻ってくれれば、何の問題もないよ
chi,chi,chi504_009,お疲れ様です。お先に失礼しますね
chi,chi,chi522_001,ちょっと２人とも。ちゃんと仕事をして頂戴
gda,gda,gda305_001,ＨＡＨＡＨＡＨＡ！穂織サイコーでぇすっ！なあ、ブラザー！
gda,gda,gda305_002,オウっ、何ですか？穂織ボーイ！
gda,gda,gda315_001,ＨＡＨＡＨＡＨＡ！穂織はやっぱりサイコーでぇすっ！なあ、ブラザー！
gdb,gdb,gdb305_001,ＹＥＳ！オリエンタルテイスト、超イケてまあす！
gdb,gdb,gdb305_002,アナタ、地元のスチューデントさんですね？その制服超キテます！グレイトですＹＯ！
gdb,gdb,gdb315_001,ＹＥＳ！ブラザー、サムライ超エキサイティングでぇす！
gdb,gdb,gdb315_002,ベリーエキサイティング！
gdb,gdb,gdb418_001,ＹＯＫＡＴＴＡ，ＦＯＯ．．．ＨＯＴＴＯＳＨＩＴＡＹＯ
gen,gen,gen001_002,む
gen,gen,gen001_003,わざわざすまんな。こちらこそよろしく頼む。手伝いは明日からで構わん。今日はゆっくり休め
gen,gen,gen001_004,それで、元気にしていたか？
gen,gen,gen001_005,身体は？体調は崩してはいないか？
gen,gen,gen001_006,剣道は辞めたらしいな
gen,gen,gen001_007,壮健に暮らしているのならいい。元々は健康のためにさせていたことだ
gen,gen,gen001_008,ともかく、よろしく頼む。何かあったら遠慮なく言え。無理だけはせんようにな
gen,gen,gen001_010,お前は伝承を知らないか？
gen,gen,gen001_011,神から託された特別な刀だからな
gen,gen,gen001_012,お前が疑う気持ちはわからんでもないが、ペテンではない
gen,gen,gen001_013,単純な力では抜くことはできん
gen,gen,gen001_014,……コツではないが……資格がな
gen,gen,gen001_015,そういえば……将臣は、参加したことはあったか？
gen,gen,gen001_016,そうか……
gen,gen,gen001_017,ではいい機会だ。将臣も一度やってみるといい
gen,gen,gen001_018,問題ない。ワシが話をつけてくる。少し待っていろ
gen,gen,gen001_019,将臣！
gen,gen,gen001_020,いいぞ、こっちにこい
gen,gen,gen001_021,そうだな……特にしきたりはないが、まあ挨拶ぐらいはしておけ
gen,gen,gen001_022,どうかしたか？
gen,gen,gen001_024,………………
gen,gen,gen001_025,何を騒いでいる
gen,gen,gen001_027,将臣？
gen,gen,gen001_028,ああ、そのことか……む！？刀身が……
gen,gen,gen001_029,これは、どうした？
gen,gen,gen001_030,それはムラサメ様のことか？
gen,gen,gen001_031,ワシは話だけだがな。見える方から話だけは聞いている
gen,gen,gen001_032,それでだ、叢雨丸の件だが……担い手になった以上、お前には責任を取ってもらうことになった
gen,gen,gen001_033,お前を、ウチで預かることはできなくなった
gen,gen,gen001_034,そういう責任ではない
gen,gen,gen001_035,落ち着け。まずは話を聞け
gen,gen,gen001_036,お前に紹介したい方がいる
gen,gen,gen001_037,都子の家は、そんなに不仲だったのか……？
gen,gen,gen002_001,その話だが、将臣。お前には転校してもらいたい
gen,gen,gen002_002,だがお前は、責任を取ると言ったはずだ
gen,gen,gen002_003,では、好いている女子がいるのか？
gen,gen,gen002_004,引っ越すことがそこまで嫌か？恋人はいないのだろう？
gen,gen,gen002_005,携帯で連絡を取るではダメなのか？
gen,gen,gen002_006,将臣！
gen,gen,gen002_007,無理を言っているのは先刻承知。だがそれでも、了承してはもらえぬか。頼む
gen,gen,gen002_009,こちらのことは気にするな
gen,gen,gen004_001,急にどうした？わざわざお前の方から来るとは……
gen,gen,gen004_002,何か問題でも起きたか？
gen,gen,gen004_003,どうした、言いたいことがあるならハッキリ言わんか
gen,gen,gen004_005,将臣、お前……何を言っているんだ……？
gen,gen,gen004_006,た、確かに……経験がなければ失敗をするかもしれんが……だからと言ってワシに……男に……男に、だと……っ！？
gen,gen,gen004_007,それはワシに、頼むようなことなのか？もっと適切な人間がいるのではないか？
gen,gen,gen004_008,ワシにしかって……お前……
gen,gen,gen004_009,……本気、なのか、将臣……
gen,gen,gen004_010,ワシの知り合いとなれば、確かに経験は豊かかもしれんが……
gen,gen,gen004_011,わ、ワシにだとっ！？
gen,gen,gen004_012,問題と言うか……そもそもだな、巫女姫様ともうそこまでの仲になったのか？
gen,gen,gen004_013,いや、仲を深めるのはいいことではあるが……いくら経験のためとはいえ、お前のソレは不貞行為になるのではないか？
gen,gen,gen004_014,そういう裏切りは見逃せんぞ、将臣
gen,gen,gen004_015,大体だな……いくらなんでも、それは少々マニアックすぎやしないだろうか？
gen,gen,gen004_016,高年、同性、近親相姦……マニアックにもほどがあるぞ！
gen,gen,gen004_017,『男になりたい』と言ったのはお前だろう！！
gen,gen,gen005_001,ちゃんと来たか
gen,gen,gen005_002,本気なんだな？しかし驚いたぞ
gen,gen,gen005_003,あれだろう？若い子の間では、びぃえる、というものが流行っているんだろう？
gen,gen,gen005_004,宿の経営をするためには、世情には詳しくなければならん。特に若者や外国の人の文化はな
gen,gen,gen005_005,知らずにいると、お客のクレームの対応に困るからな
gen,gen,gen005_006,そうやって調べていく中で、びぃえる、とやらも若者の流行として知ったんだが？違うのか？
gen,gen,gen005_007,そうなのか。まあ、この年になったワシにはさっぱり理解できんかったから、その方が助かるが
gen,gen,gen005_008,しかし、驚いたのは本来の意味でもだぞ。まさかお前が頭を下げて『鍛えて欲しい』と言ってくるとはな
gen,gen,gen005_009,昔から、嫌々やっていると思っていたが……
gen,gen,gen005_010,将臣……キツイ言い方をするが、それは本当に考えて決めたのか？
gen,gen,gen005_011,別に勢いだろうと流されようと、きっかけは何でも構わんとワシは思う。その理由は問題ではない
gen,gen,gen005_012,ワシが気になるのは、途中で放り出すことはできないということだ。最後までやり抜くしかないんだぞ
gen,gen,gen005_013,正直なところな、お前がそう言い出してくれてワシとしては嬉しい。だが……
gen,gen,gen005_014,アレはとても危険な存在だと聞いておる
gen,gen,gen005_016,……わかった
gen,gen,gen005_017,だが将臣。稽古を再開したからと言って、急激に強くなることはない
gen,gen,gen005_018,特に相手は人間ではない。何が起こるかわからない状況では、慢心は大怪我の元だ
gen,gen,gen005_019,まず、そこは心に留めておくようにな
gen,gen,gen005_020,そういう目的なら構わん。では始めるとするか
gen,gen,gen005_021,準備運動は？
gen,gen,gen005_022,まさか、観光客の前で竹刀を振るわけにもいかん。とはいえ、もう道場はないからな
gen,gen,gen005_023,本来なら公民館を使いたいところだが、こんな早朝ではな
gen,gen,gen005_024,結局、鍛練ができるほど広い場所となると、思い当たるのがここぐらいだったのだ
gen,gen,gen005_025,何か問題があるか？
gen,gen,gen005_026,ではまず、素振りからだ！
gen,gen,gen005_027,いくぞ
gen,gen,gen005_029,きいいいあああああっ！
gen,gen,gen005_030,今日は、ここまでにしておくか
gen,gen,gen005_031,当たり前だ。毎日鍛練している。投げ出したお前に負けるほど衰えてはおらん
gen,gen,gen005_032,大体お前は反応が鈍い。太刀筋を目で見切ろうとしていないか？
gen,gen,gen005_033,もう少しマシかと思っていたが……本当に竹刀を握っていなかったのだな
gen,gen,gen005_034,基本はもちろん、体力と体幹も何とかせねばならんな。お前に合わせたメニューを考えなければ……
gen,gen,gen005_035,朝に１時間程度の鍛練ぐらいでは話にならん。将臣、放課後は空いているか？
gen,gen,gen005_036,そうだな……
gen,gen,gen005_037,朝の鍛練は体力作りに専念して、竹刀を持つようなものは、放課後にまとめてしまおう
gen,gen,gen005_038,足さばきに素振りに基本打ちに切り返しに掛かり稽古……それぞれ１時間ぐらいは行うとして合計４、５時間ぐらいはみっちりと
gen,gen,gen005_039,不満か？
gen,gen,gen005_040,本当に、いいんだな？
gen,gen,gen005_041,この程度で鈍る決意なら、考え直した方がいいということだ
gen,gen,gen005_042,うむ。いい返事だ
gen,gen,gen005_043,わかった。孫相手だ、最初は加減をするから安心せい
gen,gen,gen005_044,では、放課後にな
gen,gen,gen005_045,休むな！もっと打ちこんで来い！まだ休むには早い！来ないならこちらから打つぞ！
gen,gen,gen005_046,そんな乱れた打ち方では相手を崩すことはできんぞ！こうだ！
gen,gen,gen005_048,きぃぃやぁぁぁぁぁぁぁぁぁ！
gen,gen,gen005_049,うむ。ではまず、いつものように縄跳び。そのあとでシャトルランだ
gen,gen,gen005_050,来たな。では公民館に移動するか
gen,gen,gen005_051,ああ、そうだ。将臣、今度の土曜日時間はあるか？
gen,gen,gen005_052,学院は休みだろう？
gen,gen,gen005_053,そんな嫌そうな顔をするな。そんな話ではない
gen,gen,gen005_054,鍛練はいつも通りだ
gen,gen,gen005_055,実は案内を頼みたいのだ
gen,gen,gen006_001,よし。今日はここまで
gen,gen,gen006_002,何を言っている？楽にこなしてしまっては鍛練にならんだろうが
gen,gen,gen006_003,常に身体を追い込んでこそだ
gen,gen,gen006_004,鍛練とは、そういうものだ
gen,gen,gen006_005,うむ。だが、その前に将臣
gen,gen,gen006_006,今日は土曜日だ。頼んでおいた件は、大丈夫か？
gen,gen,gen006_007,ではすまんが頼む。待ち合わせは午後の一時半。場所にも変更はない
gen,gen,gen006_008,三時までに旅館に連れてきてくれればいい。それまでは、適当に観光をして構わん
gen,gen,gen006_009,宿の人間は仕事で手一杯だ
gen,gen,gen006_010,小春は用事があるそうだ。廉太郎は……あいつはダメだ
gen,gen,gen006_011,たるんどる。たるみきっておる。頭の中は女子のことばかりだ
gen,gen,gen006_012,一度旅館の手伝いをさせたら、宿泊客に言い寄る始末……頭が痛いわ……
gen,gen,gen006_013,本格的に、一度鍛え直した方がいいかもしれんな
gen,gen,gen006_014,まあ、そういうわけだ。廉太郎に案内役を任せるのは、不安で仕方ない
gen,gen,gen006_015,そうだが……よもや、将臣までそんな男になっておるのではなかろうな？
gen,gen,gen006_016,ならばいい
gen,gen,gen006_017,新しく雇うことになった従業員だ
gen,gen,gen006_018,そのことは気にするな。元々、人手不足は経営者であるワシの落ち度だ
gen,gen,gen006_019,１人増やすつもりで、ずっと探してはいたのだ。しかし全然見つからなくてな
gen,gen,gen006_020,宿の仕事はとても厳しい。今時はわざわざそんな厳しい業界で働こうと思う者も少ない
gen,gen,gen006_021,業界全体が人手不足な上に、ここは不便な土地だからな
gen,gen,gen006_023,どうだろうな……最近の若い者は、すぐに逃げ出すと聞く
gen,gen,gen006_024,最近は“ばっくらー”なるものも流行っているのだろう？宿を燃やされてはたまらんからな
gen,gen,gen006_025,そうだが……やはり色々と心配なのだ
gen,gen,gen006_026,その子はお前と同い年で、とても若い。こっちで鵜茅学院に通うことになっている
gen,gen,gen006_027,しかも、その子は日本人ではなくてな
gen,gen,gen006_028,ワシではない。女将の考えだ
gen,gen,gen006_029,言葉だけでなく文化の違いを理解しておる者がいた方がいい、とな
gen,gen,gen006_030,ワシももう歳だ。女将に宿の切り盛りを任せている
gen,gen,gen006_031,お前も何度も会っているはずだぞ？
gen,gen,gen006_032,猪谷心子さん。４年ほど前から女将として働いてもらっている
gen,gen,gen006_033,そうか。お前が顔を見せなくなったのも、それぐらいだったな
gen,gen,gen006_034,外国人の旅行者も増え、客層も変わって、昔のままでは難しいことも増えた
gen,gen,gen006_035,ワシもこの歳だからな。いっそ、若い者の方がいいと思ってな
gen,gen,gen006_036,多少は口を挟むし、重要な部分はワシが決断を下すが、基本的には隠居生活みたいなものだ
gen,gen,gen006_037,だからこそ、お前の鍛練にも毎日付き合える
gen,gen,gen006_038,気にするな。お前が真面目に取り組んでいるのは、ワシも嬉しい
gen,gen,gen006_039,心配するな。拙くとも日本語で日常会話はできると聞いている
gen,gen,gen006_040,助かる。では、頼んだぞ
gen,gen,gen006_041,ん？ああ、もう来ていたのか、将臣
gen,gen,gen006_042,鞍馬玄十郎だ、よろしく頼む
gen,gen,gen006_043,期待をしているよ
gen,gen,gen006_044,将臣、彼女の荷物を部屋まで運べ。あの大きさでは大変だろう
gen,gen,gen006_045,きええええええええええええええええええ！
gen,gen,gen007_001,どうした？身体が音を上げているのか？
gen,gen,gen007_002,そうか。もうか……
gen,gen,gen007_003,もう少し時間があれば、多少は鍛え直した変化もあっただろうが……仕方がない
gen,gen,gen007_004,いいか、鍛練の成果を見せるなどとは考えるな。決して驕るんじゃないぞ
gen,gen,gen007_005,……そうだな。今のお前でもできることを、落ち着いてすればいい
gen,gen,gen007_006,礼を言われるようなことではない。それにだ、鍛練は今後も続けるつもりなんだろう？
gen,gen,gen007_007,では、怪我をしないようにな
gen,gen,gen007_008,怪我で鍛練を中断をすることになれば、また最初からやり直しだぞ
gen,gen,gen007_009,焦らず、慌てず、鍛練でしていたことができれば上出来だ
gen,gen,gen007_010,逆に言えば、鍛練の時にできなかったことは絶対にできない。そう心しておけ
gen,gen,gen007_011,そしてお前がするのは剣道でも試合でもないことも、決して忘れるな
gen,gen,gen007_012,ならばいい
gen,gen,gen007_013,明日、同じ時間に待っているからな
gen,gen,gen008_001,ふむ。その態度からすると、昨夜は上手くいったようだな
gen,gen,gen008_002,ちゃんと意味があったのならよかった
gen,gen,gen008_003,だがな、勘違いしてはいけないのは――
gen,gen,gen008_004,驕っていないのならばいい。では今日も始めるか
gen,gen,gen010_001,お前もたるんでいる。毎日参加とまでは言わんが、たまには朝の鍛練に参加しろ
gen,gen,gen010_002,２人とも、いつまでグダグダ言っているんだ。そろそろ始めるぞ
gen,gen,gen010_003,廉太郎！そこで寝るな、ちゃんと最後まで走らんか！
gen,gen,gen010_004,だから休むな、廉太郎！！
gen,gen,gen010_005,廉太郎！！！
gen,gen,gen010_006,では、今日はこれまで
gen,gen,gen010_007,お前は起こりがあるから分かりやすい
gen,gen,gen010_008,打ちたいという気が急いて、次の動作が丸見えだからな
gen,gen,gen010_009,そうだな……そんな日があってもいいかもしれんな
gen,gen,gen010_010,今日は足さばきと素振りだけで、軽めに終わらせてもいいかもしれん
gen,gen,gen010_011,基礎の基礎だ。毎日続けてしっかり土台を固めねばならん
gen,gen,gen010_012,そうだ。そういうことならば、一つ頼みがあるんだが――
gen,gen,gen101_001,結局、鍛練は続けるということでいいんだな？
gen,gen,gen101_002,わかった。では今後もビシバシ行くぞ
gen,gen,gen101_003,お前がそこまで本気になってくれて、ワシは嬉しいぞ……くぅ……
gen,gen,gen101_004,しかしその前に……将臣
gen,gen,gen101_005,お前には本当に迷惑をかけた。すまなかった
