=== 蕾娜 (len) 剧情配音文本 ===
共计 2466 句台词

[len006_002] きゃああああぁぁぁぁっ！？
[len006_003] あいったぁ。。……
[len006_004] ……うううーー……
[len006_005] わたしの方こそ、すみません！ヘーキですか？怪我してませんか？
[len006_006] よかった……
[len006_007] ヘーキです
[len006_008] ありがとうございます。よいこらせ
[len006_009] 誠に申し訳ないでした
[len006_010] ありがとう？？？ありがとうは、こういう時にも使うのですか？
[len006_011] 日本語は難しいであります……
[len006_012] ……そうですか？
[len006_013] さきほどは、坂道で荷物に勢いが付いて止まらなくなりまして……
[len006_014] 自分でも、びっくりしたのであります
[len006_015] 日本には１人で来ました。でも、観光ではなく、留学のためでありまして
[len006_016] は、はい……そうでありますが……
[len006_017] なにゆえわたしの名前をご存じなので？
[len006_018] もしや……人さらい！？神隠しですか！？
[len006_019] そ、それでは一体……
[len006_020] そうなのですか？助かります、ありがとうございます
[len006_021] おぅ、大変失礼しました。改めまして、レナ・リヒテナウアーであります。以後、お見知りおきを
[len006_022] 少し早めに着いたので、観光をしていたのですが……道に迷ってしまいまして
[len006_023] 気付くと待ち合わせの時間が近くて、慌てて走り回っていた次第であります
[len006_024] あぅ……本当に、申し訳ないでした
[len006_025] あの……希望を言ってもよろしいのでしょうか？
[len006_026] 実は……わたし、ずっと走り回っていたせいで……
[len006_027] 昼食もまだでありまして、大変お腹が空きましたぁぁ。。
[len006_028] スシ！テンプラ！焼き鳥！
[len006_029] にぎりのセット、ワサビアリアリでお願いします！
[len006_030] おっすし、おっすし。
[len006_031] お寿司が食べられるなんて感謝感電飴あられですよ。
[len006_032] 昔から日本が大好きでありましたので。あ、レナでヘーキですよ
[len006_033] それはですねー、わたしのｇｒｅａｔ－ｇｒｅａｔ－ｇｒａｎｄｆａｔｈｅｒが、穂織を訪れたことがあるのですよ
[len006_034] はい。わたしのお祖父ちゃんが、日本の話を沢山聞いたそうです。それをまた子供に伝えて
[len006_035] ですので、一族郎党みんな日本が好きですよ
[len006_036] はい！穂織では留学生の体制が整っておらず……旅館の見習いで頼み込んで、ようやく留学ができました
[len006_037] それにわたしの家は、裕福ではありませんので
[len006_038] 働きながら留学、とてもありがたい話であります
[len006_039] はい。ありがとうございます
[len006_040] わお！おっすし、おっすし。。。
[len006_041] よっ、と
[len006_042] 家でお母さんが日本の料理を調べて作ることもありましたので、お箸も慣れたものでありますよ
[len006_043] 茶碗蒸しにカレーに雑炊、色々作ってもらいましたよ！
[len006_044] では、いただきます
[len006_046] ありがとうございます、マコ
[len006_048] おー！　聞いたことはあります。イタリアの方でも食べられていますね
[len006_049] こんなに美味しい物だったんですね。素晴らしいです！
[len006_050] それでは、次は……これ、知ってます。イカですね。あーん
[len006_051] ――ンンっ！？
[len006_052] とても、おいひぃ、れす……うう……
[len006_053] へ、ヘーキです
[len006_054] これは心の汗ですので。気に、しないで下さい……ううう……
[len006_055] んむっ！？うぐぐぐぐぐ……
[len006_056] 美味しい、のでありますぅ
[len006_057] ……うー……すみません
[len006_058] とても素敵でありますね！
[len006_059] レナ・リヒテナウアーです。今日からお世話になります、モトコさん
[len006_060] はい、わかりました。オカミ
[len006_061] レナ・リヒテナウアーであります。よろしくお願い致します
[len006_062] はい！わたし、頑張ります！
[len006_063] それからマサオミ、マコ。案内をしてくれてありがとうございました。厚く怨霊申し上げます
[len006_064] ………？
[len006_065] はい！こちらこそ！
[len006_066] ありがとうございました、マコ
[len006_067] はぁ。……憧れていた和式。素晴らしいです。タタリのある部屋サイコーです！
[len006_068] マサオミはタタリが嫌いですか？
[len006_069] たたり？
[len006_070] タ・タ・ミ
[len006_071] タタキ！
[len006_072] ………？
[len006_073] ダメでありますか？
[len006_074] タタリィ……うー、難しい……
[len006_075] はい！この感触は素敵です！それに柔らかな感じがして……まるで部屋全体が芸術のようです！
[len006_076] はい。なんでありましょう？
[len006_077] おー！お仕事ですね。ンンッ――コホン
[len006_078] 御意。某、精一杯精進する所存でありますれば、何卒よしなにお願いちゅかまちゅ――
[len006_079] いえ、お願いちゅかまちゅります……あれぇ？
[len006_080] わたしの日本語、ダメでありましょうか？
[len006_081] そうでありまするか……
[len006_082] 御意！
[len006_083] こちらこそ、よろしくお願いちゅかまちゅ――
[len006_084] ――お願いつかまちゅります
[len007_001] レナ・リヒテナウアーと申します。気軽にレナって呼んで下さい
[len007_002] 子供の頃から日本に憧れていました。夢が叶ってとても嬉しいです
[len007_003] いたらぬところも多々ありましょうが、よろしくお願い致します！
[len007_004] フフッ
[len007_005] よろしくお願い致します！
[len007_006] 日本の部屋はタタリが素晴らしく、お世話になる宿にはオンネンも湧いていて、とても素敵で楽しいです
[len007_007] はい！とっても気持ちいいですよ。気になる方は、志那都荘に泊まりに来て下さいませ
