=== 马庭芦花 (rok) 剧情配音文本 ===
共计 1426 句台词

[rok001_002] ……んー……あの
[rok001_003] 人違いならごめんなさい。もしかして、まー坊？
[rok001_004] やっぱりまー坊だ！よかった、人違いじゃなくって
[rok001_005] やーやー、随分とお久しぶりだね
[rok001_006] うん、元気元気。。まー坊の方こそどうしてたの？あれ？何年ぶりだっけ？
[rok001_007] そっか、もうそんなになるのか……随分おっきくなったね、まー坊
[rok001_008] まさか、まー坊を見上げなきゃいけない日が来ようとは。アタシに無断でこんなに背を伸ばすなんて生意気な
[rok001_009] そっか……４年もあれば、大学だって卒業できるもんね。大きくもなるか……
[rok001_010] おやまあっ。本当に小生意気に育っちゃって、この
[rok001_011] 頭を叩くのも結構ギリギリかぁ……身体もがっしりしてきたし、本当に男らしくなったもんだね
[rok001_012] で？１人？
[rok001_013] ちょっとね
[rok001_014] でも全然顔を見せに来なかった、まー坊も悪い。よってドロー
[rok001_015] このまま志那都荘に行くの？
[rok001_016] アタシも一緒に行こっかな。久しぶりだから、もうちょっと話そうよ
[rok001_017] 平気平気。それじゃあ行こ
[rok001_018] ……なんだかまー坊、さっきからアタシをジッと見てる気がする？
[rok001_019] そんなに見つめられると、お姉さん照れちゃうよー。なになに？もしかして見惚れちゃってる？
[rok001_020] それとも、顔に何かついてるかな？
[rok001_021] これはホクロ！
[rok001_022] 人の身体的特徴で冗談を言うのはよくない
[rok001_023] もう……今さら、そんなので照れるような仲じゃないでしょうに
[rok001_024] で、本当のところは？何か気になることがある？
[rok001_025] ん？どこか変？そりゃ、他の人たちみたいなフリフリした服じゃないとは思うけど……
[rok001_026] ならいいけど。やっぱり外を知らないと色々不安なこともあるんだよね
[rok001_027] このご時世、就職先がなかなかなくてね
[rok001_028] アタシの家がお店やってたこと、覚えてる？
[rok001_029] 甘味処。まあ、似たようなものだけどね。今は実家の手伝い……というか、経営に携わってるの
[rok001_030] あー、違う違う。健康そのもの。裏方としてバリバリ働いてる
[rok001_031] ただ最近は外国からのお客さんも増えてね。昔のままじゃ問題もあるんだよ
